TinhTrangBDS,DienTich,Phongngu,TenPhanKhu,SoTang,PhongTam,Loai,GiayTo,MaCanHo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DacDiem,Quan,USD
Chưa bàn giao,61.0,2,,,2, Chung cư, Đang chờ sổ,,, Tây Bắc, Đông Nam,, Quận Thủ Đức,51600.0
Đã bàn giao,62.0,2,,7.0,2, Chung cư, Đã có sổ,707, Nội thất cao cấp, Tây Bắc, Đông Nam,, Quận Gò Vấp,100000.0
Đã bàn giao,61.0,2, B,,2, Chung cư, Đang chờ sổ,, Nội thất đầy đủ, Tây Nam, Đông Bắc,, Huyện Nhà Bè,43600.0
Chưa bàn giao,107.5,3, A3,12.0,2, Chung cư, Giấy tờ khác,, Nội thất cao cấp, Đông Bắc, Tây Nam, Căn góc, Quận Tân Phú,204861.05356
Đã bàn giao,106.0,3,,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Tây, Đông,, Huyện Nhà Bè,96000.0
Đã bàn giao,88.0,3,,,2, Chung cư,,,,,,, Quận 2,220000.0
Đã bàn giao,63.0,2,,4.0,1, Chung cư, Đã có sổ,, Nội thất đầy đủ, Đông,,, Quận Tân Phú,58000.0
Đã bàn giao,56.0,1, Orchid,25.0,1," Căn hộ dịch vụ, mini", Đang chờ sổ,, Nội thất cao cấp, Đông, Tây,, Quận 10,196000.0
Chưa bàn giao,50.0,2,,,2, Chung cư, Đã có sổ,, Nội thất cao cấp,,, Căn góc, Quận 12,10800.0
Đã bàn giao,52.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,63200.0
Đã bàn giao,52.0,1,,,1, Chung cư, Đã có sổ,,, Đông Nam, Nam,, Huyện Nhà Bè,62000.0
Chưa bàn giao,56.0,2, 1-2-5-6,,0, Chung cư, Đang chờ sổ,,,,, Căn góc, Quận Bình Tân,86000.0
Đã bàn giao,40.0,1, E,,1, Chung cư, Đang chờ sổ,,,,,, Huyện Bình Chánh,42000.0
Chưa bàn giao,48.0,1,,,1, Chung cư,,,,,,, Quận 12,67200.0
Đã bàn giao,90.0,3,,,2, Chung cư,,, Nội thất cao cấp,,, Căn góc, Quận Phú Nhuận,200000.0
Chưa bàn giao,68.0,2, A,9.0,2, Chung cư, Đang chờ sổ,2, Hoàn thiện cơ bản,,,, Quận 2,159200.0
Chưa bàn giao,58.3,2,,,2, Chung cư,,,,,,, Quận 9,89080.0
Đã bàn giao,75.0,2,,,2, Chung cư,,,,,,, Quận 9,64000.0
Đã bàn giao,79.0,2, E,,2, Chung cư, Đã có sổ, E8.07,, Tây Nam, Đông Nam,, Quận Gò Vấp,136000.0
Đã bàn giao,35.0,1,,,1, Chung cư,,,,,,, Quận 8,56800.0
Đã bàn giao,55.0,2,,,1, Chung cư, Đã có sổ,,,,,, Quận Bình Tân,58000.0
Đã bàn giao,50.0,1, B,17.0,1, Chung cư, Đang chờ sổ,4, Hoàn thiện cơ bản, Đông Bắc, Đông Nam,, Quận 8,68000.0
Đã bàn giao,72.25,2,,,2, Chung cư, Đang chờ sổ,,,,, Căn góc, Quận 8,84000.0
Đã bàn giao,65.0,2,,,1, Chung cư,,,,, Đông,, Quận 8,72000.0
Đã bàn giao,61.0,2, B,,2, Chung cư, Đang chờ sổ,, Nội thất đầy đủ, Tây Nam, Đông Bắc,, Huyện Nhà Bè,43600.0
Đã bàn giao,55.0,2,,,2, Chung cư,,,,,,, Huyện Bình Chánh,60000.0
Đã bàn giao,70.0,1, A,7.0,1, Chung cư, Đang chờ sổ, BPA - 0712, Nội thất cao cấp, Đông Nam, Tây Bắc,, Quận Tân Bình,160000.0
Đã bàn giao,77.0,2,,,2, Chung cư,,,,,,, Quận 9,90000.0
Đã bàn giao,121.0,3,,,3, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,, Huyện Nhà Bè,96000.0
Đã bàn giao,70.0,2,,,2, Chung cư,,,,,,, Quận 8,66000.0
Đã bàn giao,70.0,2,,,2, Chung cư,,,,,,, Quận 8,91200.0
Đã bàn giao,52.0,2,,,1, Chung cư,,,,,,, Quận 8,66000.0
Đã bàn giao,32.0,1,,,1, Chung cư,,,,,,, Quận Phú Nhuận,70000.0
Đã bàn giao,83.0,2,,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Tây Bắc, Đông Nam,, Quận 2,248000.0
Đã bàn giao,83.6,3, e,3.0,2, Chung cư, Đang chờ sổ,303, Nội thất cao cấp, Nam, Đông Bắc,, Quận Tân Phú,152000.0
Đã bàn giao,75.0,2,,4.0,1, Chung cư, Đã có sổ,,,,,, Quận Tân Phú,62000.0
Đã bàn giao,80.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận Bình Thạnh,160000.0
Đã bàn giao,62.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,72000.0
Đã bàn giao,76.0,2, C,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản,,,, Quận 3,56800.0
Đã bàn giao,68.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,88000.0
Chưa bàn giao,52.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận 8,56400.0
Đã bàn giao,68.0,2,,,2, Chung cư,,,,,,, Quận 9,64000.0
Đã bàn giao,68.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận Tân Phú,101200.0
Đã bàn giao,91.0,2, D,17.0,2, Chung cư, Đã có sổ,,,,,, Quận 6,104000.0
Đã bàn giao,65.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,68000.0
Đã bàn giao,68.0,2,,,2, Chung cư,,,, Tây, Đông,, Quận Tân Phú,98000.0
Đã bàn giao,55.0,2,,,1, Chung cư,,, Nội thất đầy đủ,,,, Quận 8,79600.0
Đã bàn giao,53.0,2,,,1, Chung cư, Đã có sổ,,,,,, Quận 9,60000.0
Đã bàn giao,89.0,3,,,2, Chung cư, Đang chờ sổ,,, Đông Nam,, Căn góc, Quận 10,228000.0
Đã bàn giao,75.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận 9,100800.0
Chưa bàn giao,75.0,2,2,5.0,2, Chung cư, Giấy tờ khác,17,, Đông Nam, Đông Nam,, Quận Bình Tân,103200.0
Đã bàn giao,85.0,3,1,15.0,2, Chung cư, Giấy tờ khác,, Hoàn thiện cơ bản, Nam, Bắc, Căn góc, Quận Phú Nhuận,196000.0
Đã bàn giao,68.0,2,,,2, Chung cư, Đã có sổ,,,,, Căn góc, Quận Tân Phú,96000.0
Đã bàn giao,130.0,3,,,2, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,, Quận 7,208000.0
Đã bàn giao,67.0,2,,,2, Chung cư,,,,,,, Quận 9,94000.0
Đã bàn giao,60.0,2,,,1, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,, Căn góc, Huyện Nhà Bè,78000.0
Đã bàn giao,129.0,3,,,3, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,, Huyện Nhà Bè,98000.0
Chưa bàn giao,56.0,2, ak1,12.0,1, Chung cư, Đang chờ sổ,12, Nội thất cao cấp,,,, Quận Bình Tân,78000.0
Đã bàn giao,62.0,2, A,,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,, Quận Tân Phú,78000.0
Đã bàn giao,46.0,1,,25.0,1, Chung cư, Đang chờ sổ,,,,,, Quận 9,68000.0
Đã bàn giao,49.0,1,,,1, Chung cư,,,,,,, Quận 2,86000.0
Chưa bàn giao,69.0,2, W3,9.0,2, Chung cư, Đã có sổ,9, Nội thất cao cấp, Tây Bắc, Đông Nam, Căn góc, Quận 6,60000.0
Đã bàn giao,61.0,2,,,1, Chung cư,,,, Đông Bắc, Đông Bắc,, Quận Gò Vấp,54800.0
Đã bàn giao,78.0,3,,,2, Chung cư,,,,,,, Quận Thủ Đức,88000.0
Đã bàn giao,64.0,2, A,4.0,2, Chung cư,,, Hoàn thiện cơ bản,,, Căn góc, Quận 12,70000.0
Chưa bàn giao,72.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận 8,72000.0
Đã bàn giao,52.0,1,,,1, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Tây, Đông,, Quận Bình Thạnh,92800.0
Đã bàn giao,64.0,2, A,,2, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,, Quận Bình Tân,68000.0
Đã bàn giao,35.0,1, A4,4.0,1, Chung cư, Đã có sổ,22, Nội thất cao cấp,,, Căn góc, Huyện Hóc Môn,18400.0
Đã bàn giao,83.0,3, A,12.0,2, Chung cư, Đã có sổ,, Nội thất cao cấp, Tây Bắc, Đông Nam, Căn góc, Quận Tân Phú,131200.0
Đã bàn giao,80.0,2, C,9.0,2, Chung cư, Đang chờ sổ,,,,,, Quận Tân Bình,188000.0
Đã bàn giao,75.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận 9,100800.0
Đã bàn giao,63.0,2,,,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,, Quận Bình Tân,64000.0
Chưa bàn giao,50.0,1,,,1, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,, Quận 2,196000.0
Đã bàn giao,83.0,2,,,2, Chung cư, Đã có sổ,, Nội thất cao cấp, Tây Bắc,,, Quận 6,118000.0
Đã bàn giao,97.0,2,,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Đông Bắc, Tây Nam, Căn góc, Quận 6,142000.0
Chưa bàn giao,66.0,2, vesta,18.0,2, Chung cư, Đã có sổ,,,,, Căn góc, Huyện Nhà Bè,20000.0
Đã bàn giao,50.0,2, A4,3.0,1, Chung cư, Đã có sổ,, Hoàn thiện cơ bản,,,, Quận Bình Tân,56000.0
Chưa bàn giao,50.0,1,,,1, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,, Quận 9,100000.0
Đã bàn giao,75.0,2, s4,,2, Chung cư, Giấy tờ khác,, Nội thất đầy đủ, Tây Bắc,,, Quận 2,154000.0
Chưa bàn giao,33.0,1,,,1, Chung cư,,, Hoàn thiện cơ bản,,,, Quận 6,35600.0
Đã bàn giao,76.0,2, b1,25.0,2, Chung cư, Đang chờ sổ,8, Hoàn thiện cơ bản, Tây, Bắc, Căn góc, Quận 7,112000.0
Chưa bàn giao,57.0,2,,10.0,1, Chung cư, Đang chờ sổ,,,,,, Quận 12,78000.0
Đã bàn giao,63.0,2,,,2, Chung cư,,,, Tây, Đông,, Quận Tân Phú,80000.0
Đã bàn giao,59.0,2,,,1, Chung cư, Đang chờ sổ,,,,,, Quận 9,82000.0
Đã bàn giao,34.0,1,,,1, Chung cư,,,,,,, Quận 9,51200.0
Đã bàn giao,62.0,2,,,1, Chung cư, Đã có sổ,,,,,, Quận Tân Phú,76000.0
Đã bàn giao,77.0,2, B,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,, Căn góc, Quận 7,74000.0
Đã bàn giao,105.0,3, A,10.0,2, Chung cư, Đã có sổ,,,,, Căn góc, Quận Gò Vấp,158000.0
Chưa bàn giao,31.0,1,2,25.0,1, Chung cư, Giấy tờ khác,, Hoàn thiện cơ bản,,, Căn góc, Quận 8,56000.0
Chưa bàn giao,58.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,49960.0
Đã bàn giao,74.0,2, Glory,,2, Chung cư, Đang chờ sổ, R20,,, Nam,, Quận Bình Thạnh,152000.0
Đã bàn giao,73.0,2, S1,22.0,2, Chung cư, Đã có sổ,,,,,, Quận 7,168000.0
Đã bàn giao,74.0,2,,,2, Chung cư,,,,,,, Quận Tân Bình,152000.0
Đã bàn giao,63.0,2,,,1, Chung cư,,,,, Đông Bắc,, Quận Tân Phú,126000.0
Đã bàn giao,65.0,2,,,2, Chung cư,,,,, Tây Nam,, Quận Thủ Đức,86400.0
Đã bàn giao,95.0,3,,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,, Căn góc, Quận 7,212000.0
Đã bàn giao,62.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận 7,80000.0
Đã bàn giao,89.0,3,,,2, Chung cư, Đang chờ sổ,,, Đông Nam,, Căn góc, Quận 10,228000.0
Đã bàn giao,62.0,2,,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Đông Nam, Đông,, Quận 9,72000.0
Đã bàn giao,97.0,2,,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Đông Bắc, Tây Nam, Căn góc, Quận 6,142000.0
Đã bàn giao,89.0,3,,,2, Chung cư,,,,,,, Quận Bình Thạnh,136000.0
Đã bàn giao,58.52,2,,,1, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,, Huyện Nhà Bè,82000.0
Đã bàn giao,60.0,2, a,10.0,1, Chung cư, Đã có sổ,, Nội thất đầy đủ, Đông Nam, Nam,, Quận Bình Tân,60000.0
Đã bàn giao,87.0,3,,,2, Chung cư,,,,,,, Quận Thủ Đức,136000.0
Đã bàn giao,132.0,3, C,8.0,2, Chung cư, Đã có sổ,, Nội thất đầy đủ, Đông Nam, Tây Bắc, Căn góc, Quận Tân Bình,124000.0
Chưa bàn giao,60.0,2,,12.0,2, Chung cư, Đang chờ sổ,, Nội thất đầy đủ, Tây Bắc, Đông Nam,, Quận Tân Bình,59600.0
Đã bàn giao,115.0,3,,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản,,,, Quận 2,284000.0
Chưa bàn giao,65.0,2, V,8.0,2, Chung cư, Đang chờ sổ,8, Nội thất cao cấp, Đông Bắc, Tây Nam, Căn góc, Quận 8,35200.0
Chưa bàn giao,32.0,2,,,1," Căn hộ dịch vụ, mini", Giấy tờ khác,, Nội thất đầy đủ,,,, Huyện Củ Chi,11560.0
Đã bàn giao,75.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,70000.0
Đã bàn giao,56.0,2,,,2, Chung cư,,, Hoàn thiện cơ bản,,,, Huyện Bình Chánh,74000.0
Chưa bàn giao,57.0,2, A,10.0,2, Chung cư, Đang chờ sổ,4, Hoàn thiện cơ bản,,,, Quận 9,73600.0
Đã bàn giao,76.0,3,,1.0,1, Chung cư, Đã có sổ,,, Tây Bắc, Đông Bắc, Căn góc, Quận Tân Phú,80800.0
Đã bàn giao,61.0,2, A B,25.0,2, Chung cư, Đã có sổ,,,,, Căn góc, Quận 8,26000.0
Đã bàn giao,88.0,3, B,4.0,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Đông Nam, Tây Bắc,, Quận 2,132000.0
Chưa bàn giao,55.0,1, 2 Block,,1, Chung cư, Đang chờ sổ,,,,,, Quận 2,200000.0
Chưa bàn giao,51.33,2, B,19.0,2, Chung cư, Đang chờ sổ,13, Hoàn thiện cơ bản, Đông Nam, Đông Bắc,, Quận Thủ Đức,64240.0
Chưa bàn giao,58.0,2,,,1, Chung cư,,,,,,, Quận 12,76800.0
Đã bàn giao,82.0,2, Lô B5,11.0,2, Chung cư, Đã có sổ,, Nội thất đầy đủ, Tây Bắc, Đông Nam,, Quận 4,140000.0
Đã bàn giao,30.4,1,,,1, Chung cư,,,,,,, Quận 9,50000.0
Đã bàn giao,85.0,3,1,15.0,2, Chung cư, Giấy tờ khác,, Hoàn thiện cơ bản, Nam, Bắc, Căn góc, Quận Phú Nhuận,196000.0
Chưa bàn giao,75.0,2,2,5.0,2, Chung cư, Giấy tờ khác,17,, Đông Nam, Đông Nam,, Quận Bình Tân,103200.0
Đã bàn giao,97.0,2,,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Đông Bắc, Tây Nam, Căn góc, Quận 6,142000.0
Đã bàn giao,63.0,2,,,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,, Quận Bình Tân,64000.0
Đã bàn giao,62.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận 7,80000.0
Đã bàn giao,72.0,2, B4,16.0,2, Chung cư, Đã có sổ,,,,, Căn góc, Quận 7,87200.0
Đã bàn giao,74.0,2,,,2, Officetel, Giấy tờ khác,, Hoàn thiện cơ bản,,, Căn góc, Quận 2,122400.0
Chưa bàn giao,67.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận Thủ Đức,68000.0
Đã bàn giao,72.0,2,,,2, Chung cư,,,,,,, Quận 9,94000.0
Đã bàn giao,70.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận Bình Tân,76800.0
Đã bàn giao,61.0,2, B,9.0,1, Officetel, Đang chờ sổ, B09_12B, Nội thất đầy đủ,, Bắc, Căn góc, Quận 7,124000.0
Đã bàn giao,60.0,2,2,8.0,1, Chung cư, Đã có sổ,, Nội thất đầy đủ, Đông, Đông, Căn góc, Quận 7,116000.0
Đã bàn giao,71.0,2,,,2, Chung cư, Đã có sổ,, Nội thất cao cấp, Nam,,, Quận Bình Thạnh,128000.0
Đã bàn giao,62.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,72000.0
Đã bàn giao,55.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Huyện Bình Chánh,34800.0
Đã bàn giao,50.0,2,,,2, Chung cư, Đã có sổ,, Nội thất cao cấp,,, Căn góc, Huyện Hóc Môn,10400.0
Đã bàn giao,67.0,2,,,2, Chung cư,,,,,,, Quận Bình Thạnh,136000.0
Đã bàn giao,90.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận 12,72000.0
Đã bàn giao,85.0,2,,,2, Chung cư, Đang chờ sổ,, Bàn giao thô,,,, Quận 2,180000.0
Đã bàn giao,72.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,112000.0
Chưa bàn giao,65.0,2, b,9.0,2, Chung cư, Đang chờ sổ,9, Nội thất đầy đủ, Tây Nam, Đông Bắc, Căn góc, Huyện Nhà Bè,27200.0
Đã bàn giao,74.0,2,,2.0,2, Chung cư, Đã có sổ,, Nội thất đầy đủ, Đông Nam, Tây Bắc, Căn góc, Quận 2,95200.0
Đã bàn giao,50.0,2,,,1, Chung cư, Đã có sổ,,, Đông,,, Quận 12,60000.0
Đã bàn giao,68.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận 12,64000.0
Chưa bàn giao,61.0,2,,,2, Chung cư, Đang chờ sổ,,, Tây Bắc, Đông Nam,, Quận Thủ Đức,51600.0
Đã bàn giao,70.0,1, A,7.0,1, Chung cư, Đang chờ sổ, BPA - 0712, Nội thất cao cấp, Đông Nam, Tây Bắc,, Quận Tân Bình,160000.0
Đã bàn giao,64.0,2, A7A8,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Nam, Bắc, Căn góc, Quận Bình Tân,68800.0
Đã bàn giao,97.6,3, D,6.0,2, Chung cư, Đã có sổ, D6.1, Nội thất cao cấp,,,, Quận 7,196000.0
Đã bàn giao,73.0,2,,,2, Chung cư,,,,,,, Quận 2,146000.0
Chưa bàn giao,60.0,2,,,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,, Quận 9,120000.0
Chưa bàn giao,65.0,2, P3b,8.0,2, Chung cư, Đang chờ sổ,10,,,,, Quận 12,92000.0
Đã bàn giao,62.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận Bình Tân,62000.0
Đã bàn giao,61.0,2,,,2, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,, Quận 7,80000.0
Đã bàn giao,32.0,1,,,1, Officetel, Đang chờ sổ,, Nội thất đầy đủ,,,, Quận Phú Nhuận,70400.0
Chưa bàn giao,60.0,2,,,2, Chung cư, Đã có sổ,, Nội thất cao cấp,,, Căn góc, Quận Thủ Đức,23960.0
Chưa bàn giao,78.0,2, tháp 3,,2, Chung cư, Đang chờ sổ,, Bàn giao thô,,,, Huyện Nhà Bè,120000.0
Chưa bàn giao,41.0,1,,,1," Căn hộ dịch vụ, mini", Đã có sổ,, Hoàn thiện cơ bản,,, Căn góc, Quận 7,44000.0
Đã bàn giao,210.0,4, P5,46.0,3, Penthouse, Đang chờ sổ,, Nội thất đầy đủ, Bắc, Đông Nam, Căn góc, Quận Bình Thạnh,720000.0
Chưa bàn giao,50.0,1,,,1, Chung cư, Đang chờ sổ,,,,, Căn góc, Quận 12,26400.0
Đã bàn giao,50.0,2,,,0, Chung cư, Đã có sổ,,,,,, Quận 7,60000.0
Đã bàn giao,70.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận 9,92000.0
Đã bàn giao,60.0,2,,,2, Chung cư,,,, Đông Nam, Tây Bắc, Căn góc, Quận 2,69200.0
Đã bàn giao,60.0,2,,,2," Căn hộ dịch vụ, mini",,,,,,, Huyện Hóc Môn,23400.0
Đã bàn giao,82.0,3,,,2, Chung cư,,,,,,, Quận 9,109520.0
Đã bàn giao,40.0,2,,,2," Căn hộ dịch vụ, mini", Đã có sổ,, Nội thất cao cấp,,,, Huyện Hóc Môn,21200.0
Đã bàn giao,71.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Huyện Nhà Bè,108000.0
Đã bàn giao,32.0,2,,,2, Chung cư, Đã có sổ,,,,,, Huyện Hóc Môn,11200.0
Đã bàn giao,62.0,2,,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Đông Nam, Đông,, Quận 9,72000.0
Đã bàn giao,194.0,3,,,3, Penthouse, Đã có sổ,, Nội thất cao cấp, Nam, Tây Bắc, Căn góc, Quận 7,280000.0
Chưa bàn giao,72.0,2,,,2, Chung cư, Giấy tờ khác,,,,,, Quận 8,72600.0
Đã bàn giao,73.0,2,,,2, Chung cư,,,,,,, Quận 2,146000.0
Đã bàn giao,60.45,2, A3,18.0,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản, Đông Bắc, Tây Nam,, Quận Thủ Đức,67600.0
Đã bàn giao,195.0,4,,16.0,3, Chung cư,,, Nội thất đầy đủ, Tây Nam, Đông Bắc, Căn góc, Quận Tân Bình,212000.0
Đã bàn giao,67.0,2,,,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,, Căn góc, Huyện Bình Chánh,96000.0
Đã bàn giao,77.0,3,,,2, Chung cư, Đang chờ sổ,,,,,, Quận Thủ Đức,94800.0
Đã bàn giao,55.0,2,,,2, Chung cư,,,, Tây Bắc, Đông Nam,, Huyện Bình Chánh,40000.0
Chưa bàn giao,112.0,3, B2,12.0,2, Chung cư, Giấy tờ khác,, Hoàn thiện cơ bản, Tây Bắc, Đông Nam,, Quận Tân Phú,243200.0
Đã bàn giao,87.29,3,,25.0,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Tây Bắc, Đông Nam, Căn góc, Quận 7,40000.0
Đã bàn giao,35.6,4,,,3," Căn hộ dịch vụ, mini", Đã có sổ,, Nội thất cao cấp,,,, Quận Phú Nhuận,252000.0
Đã bàn giao,74.9,2, A,24.0,2, Chung cư, Đang chờ sổ, F24.A5, Nội thất đầy đủ, Bắc, Nam,, Quận 2,163080.0
Đã bàn giao,60.0,2,,9.0,1, Chung cư, Đang chờ sổ,,,,,, Quận Tân Phú,60000.0
Đã bàn giao,72.0,2, B,2.0,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Đông Nam, Nam, Căn góc, Quận 6,90000.0
Chưa bàn giao,68.0,2,,,2, Chung cư,,,, Đông,,, Quận Tân Phú,66000.0
Đã bàn giao,119.0,3,,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,, Quận 11,180000.0
Chưa bàn giao,68.0,2,,9.0,2, Chung cư, Đang chờ sổ,, Nội thất đầy đủ, Đông, Tây,, Quận 7,128000.0
Đã bàn giao,56.0,2, Mp3 - Mp4,,1, Chung cư, Đang chờ sổ,, Nội thất đầy đủ, Đông Nam,,, Huyện Bình Chánh,84000.0
Đã bàn giao,70.0,2,,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,, Căn góc, Quận 10,200000.0
Chưa bàn giao,74.0,2,,,2, Chung cư, Đã có sổ,, Nội thất cao cấp,,,, Quận 4,180000.0
Đã bàn giao,67.7,2,,,2, Chung cư, Đã có sổ,, Nội thất đầy đủ, Tây Nam, Đông Bắc,, Quận 4,146000.0
Đã bàn giao,257.0,3,,,3, Penthouse, Đã có sổ,, Nội thất cao cấp,,,, Quận 7,248000.0
Đã bàn giao,83.0,2,,,2, Chung cư, Đã có sổ,, Nội thất cao cấp, Tây Bắc,,, Quận 6,118000.0
Đã bàn giao,83.6,3, e,3.0,2, Chung cư, Đang chờ sổ,303, Nội thất cao cấp, Nam, Đông Bắc,, Quận Tân Phú,152000.0
Đã bàn giao,56.0,2, b3,5.0,1, Chung cư, Đã có sổ,, Nội thất đầy đủ, Nam, Tây,, Quận 1,107600.0
Đã bàn giao,63.0,2,,,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,, Quận Bình Tân,64000.0
Đã bàn giao,55.0,2,,,2, Chung cư,,,,,,, Huyện Bình Chánh,60000.0
Đã bàn giao,88.0,3,1,,2, Chung cư, Đã có sổ,, Nội thất cao cấp, Tây Bắc, Đông Nam, Căn góc, Quận 4,192000.0
Đã bàn giao,84.95,2, Block B,16.0,2, Chung cư, Đang chờ sổ, B1, Hoàn thiện cơ bản, Nam, Bắc, Căn góc, Quận 2,152000.0
Chưa bàn giao,40.0,1,1,,1," Căn hộ dịch vụ, mini", Đang chờ sổ,, Nội thất đầy đủ,,,, Quận Bình Tân,42000.0
Đã bàn giao,67.0,2,,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản,,,, Quận Thủ Đức,76000.0
Đã bàn giao,66.0,2,,,2, Chung cư, Đã có sổ,,,,, Căn góc, Quận 2,111600.0
Đã bàn giao,80.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận 2,77200.0
Chưa bàn giao,69.19,2,,,2, Chung cư,,,, Bắc, Nam,, Quận 7,86476.56
Đã bàn giao,60.0,2,,,1," Căn hộ dịch vụ, mini", Giấy tờ khác,,,,,, Quận Thủ Đức,27600.0
Đã bàn giao,55.0,2,,1.0,1, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,, Quận Gò Vấp,64000.0
Đã bàn giao,50.0,1,,,1, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,, Quận 2,86000.0
Đã bàn giao,72.0,2,,,2, Chung cư, Đang chờ sổ,,,, Đông,, Huyện Bình Chánh,100000.0
Chưa bàn giao,75.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,91600.0
Đã bàn giao,72.0,2, C,,2, Chung cư, Đã có sổ,, Nội thất đầy đủ, Bắc, Nam,, Quận 7,105200.0
Đã bàn giao,76.0,2, C1,,2, Chung cư, Đã có sổ,,, Tây Bắc, Đông Nam, Căn góc, Quận 2,148000.0
Đã bàn giao,50.0,2,,,2, Chung cư, Đã có sổ,, Nội thất đầy đủ,,, Căn góc, Quận 9,74000.0
Chưa bàn giao,69.0,2,,12.0,2, Chung cư, Giấy tờ khác,, Nội thất cao cấp, Bắc, Nam, Căn góc, Quận 7,94480.0
Chưa bàn giao,57.0,2,,18.0,2, Chung cư, Giấy tờ khác,, Nội thất đầy đủ,,, Căn góc, Quận 9,71120.0
Đã bàn giao,120.0,3, B,8.0,2, Chung cư, Đã có sổ,123, Hoàn thiện cơ bản,,, Căn góc, Quận Bình Thạnh,179200.0
Đã bàn giao,81.0,2,,,2, Chung cư,,,,,,, Quận 8,96800.0
Đã bàn giao,76.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận Gò Vấp,144000.0
Đã bàn giao,62.0,2,,7.0,2, Chung cư, Đã có sổ,707, Nội thất cao cấp, Tây Bắc, Đông Nam,, Quận Gò Vấp,100000.0
Đã bàn giao,68.0,2,,,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản, Đông, Tây,, Quận Bình Tân,64000.0
Đã bàn giao,64.0,2, A7A8,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Nam, Bắc, Căn góc, Quận Bình Tân,68800.0
